Date,season,PM_Dongsi,PM_Dongsihuan,PM_Nongzhanguan,PM_US Post,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec
1/1/2010 00:00:00,4,,,,,-21,43,1021,-11,NW,1.79,0,0
1/1/2010 01:00:00,4,,,,,-21,47,1020,-12,NW,4.92,0,0
1/1/2010 02:00:00,4,,,,,-21,43,1019,-11,NW,6.71,0,0
1/1/2010 03:00:00,4,,,,,-21,55,1019,-14,NW,9.84,0,0
1/1/2010 04:00:00,4,,,,,-20,51,1018,-12,NW,12.97,0,0
1/1/2010 05:00:00,4,,,,,-19,47,1017,-10,NW,16.1,0,0
1/1/2010 06:00:00,4,,,,,-19,44,1017,-9,NW,19.23,0,0
1/1/2010 07:00:00,4,,,,,-19,44,1017,-9,NW,21.02,0,0
1/1/2010 08:00:00,4,,,,,-19,44,1017,-9,NW,24.15,0,0
1/1/2010 09:00:00,4,,,,,-20,37,1017,-8,NW,27.28,0,0
1/1/2010 10:00:00,4,,,,,-19,37,1017,-7,NW,31.3,0,0
1/1/2010 11:00:00,4,,,,,-18,35,1017,-5,NW,34.43,0,0
1/1/2010 12:00:00,4,,,,,-19,32,1015,-5,NW,37.56,0,0
1/1/2010 13:00:00,4,,,,,-18,30,1015,-3,NW,40.69,0,0
1/1/2010 14:00:00,4,,,,,-18,28,1014,-2,NW,43.82,0,0
1/1/2010 15:00:00,4,,,,,-18,26,1014,-1,cv,0.89,0,0
1/1/2010 16:00:00,4,,,,,-19,25,1015,-2,NW,1.79,0,0
1/1/2010 17:00:00,4,,,,,-18,30,1015,-3,NW,2.68,0,0
1/1/2010 18:00:00,4,,,,,-18,35,1016,-5,NE,1.79,0,0
1/1/2010 19:00:00,4,,,,,-17,35,1017,-4,NW,1.79,0,0
1/1/2010 20:00:00,4,,,,,-17,38,1017,-5,cv,0.89,0,0
1/1/2010 21:00:00,4,,,,,-17,38,1018,-5,NW,1.79,0,0
1/1/2010 22:00:00,4,,,,,-17,38,1018,-5,NW,2.68,0,0
1/1/2010 23:00:00,4,,,,129,-17,41,1020,-5,cv,0.89,0,0
1/2/2010 00:00:00,4,,,,148,-16,38,1020,-4,SE,1.79,0,0
1/2/2010 01:00:00,4,,,,159,-15,42,1020,-4,SE,2.68,0,0
1/2/2010 02:00:00,4,,,,181,-11,63.5,1021,-5,SE,3.57,0,0
1/2/2010 03:00:00,4,,,,138,-7,85,1022,-5,SE,5.36,0,0
1/2/2010 04:00:00,4,,,,109,-7,85,1022,-5,SE,6.25,0,0
1/2/2010 05:00:00,4,,,,105,-7,92,1022,-6,SE,7.14,0,0
1/2/2010 06:00:00,4,,,,124,-7,92,1023,-6,SE,8.93,0,0
1/2/2010 07:00:00,4,,,,120,-7,85,1024,-5,SE,10.72,0,0
1/2/2010 08:00:00,4,,,,132,-8,85,1024,-6,SE,12.51,0,0
1/2/2010 09:00:00,4,,,,140,-7,85,1025,-5,SE,14.3,0,0
1/2/2010 10:00:00,4,,,,152,-7,85,1026,-5,SE,17.43,0,0
1/2/2010 11:00:00,4,,,,148,-8,79,1026,-5,SE,20.56,0,0
1/2/2010 12:00:00,4,,,,164,-8,79,1026,-5,SE,23.69,0,0
1/2/2010 13:00:00,4,,,,158,-8,79,1025,-5,SE,27.71,0,0
1/2/2010 14:00:00,4,,,,154,-9,73,1025,-5,SE,31.73,0,0
1/2/2010 15:00:00,4,,,,159,-9,73,1025,-5,SE,35.75,0,0
1/2/2010 16:00:00,4,,,,164,-9,73,1026,-5,SE,37.54,0,0
1/2/2010 17:00:00,4,,,,170,-8,79,1027,-5,SE,39.33,0,0
1/2/2010 18:00:00,4,,,,149,-8,79,1027,-5,SE,42.46,0,0
1/2/2010 19:00:00,4,,,,154,-8,79,1028,-5,SE,44.25,0,0
1/2/2010 20:00:00,4,,,,164,-7,85,1028,-5,SE,46.04,0,0
1/2/2010 21:00:00,4,,,,156,-7,85,1027,-5,SE,49.17,0,0
