Date,season,PM_Caotangsi,PM_Shahepu,PM_US Post,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec
1/1/2010 00:00:00,4,,,,4,81.2,1022,7,cv,1,0,0
1/1/2010 01:00:00,4,,,,4,86.99,1022,6,cv,1,0,0
1/1/2010 02:00:00,4,,,,4,86.99,1021,6,cv,1,0,0
1/1/2010 03:00:00,4,,,,3,86.89,1021,5,cv,1,0,0
1/1/2010 04:00:00,4,,,,2,86.79,1021,4,cv,1,0,0
1/1/2010 05:00:00,4,,,,2,93.13,1020,3,cv,1,0,0
1/1/2010 06:00:00,4,,,,2,93.13,1020,3,cv,1,0,0
1/1/2010 07:00:00,4,,,,2,86.79,1020,4,cv,1,0,0
1/1/2010 08:00:00,4,,,,2,93.13,1021,3,cv,1,0,0
1/1/2010 09:00:00,4,,,,3,93.19,1021,4,cv,1,0,0
1/1/2010 10:00:00,4,,,,4,86.99,1021,6,SW,1,0,0
1/1/2010 11:00:00,4,,,,5,81.34,1021,8,cv,1,0,0
1/1/2010 12:00:00,4,,,,4,70.88,1020,9,cv,2,0,0
1/1/2010 13:00:00,4,,,,2,57.51,1019,10,cv,3,0,0
1/1/2010 14:00:00,4,,,,3,57.77,1016.9,11,SE,2,0,0
1/1/2010 15:00:00,4,,,,2,53.81,1016.9,11,cv,1,0,0
1/1/2010 16:00:00,4,,,,1,50.08,1016.9,11,cv,2,0,0
1/1/2010 17:00:00,4,,,,1,50.08,1016.9,11,cv,2,0,0
1/1/2010 18:00:00,4,,,,2,61.51,1018,9,cv,2,0,0
1/1/2010 19:00:00,4,,,,3,66.05,1019,9,SE,3,0,0
1/1/2010 20:00:00,4,,,,3,66.05,1020,9,cv,1,0,0
1/1/2010 21:00:00,4,,,,2,61.51,1021,9,cv,1,0,0
1/1/2010 22:00:00,4,,,,2,61.51,1021,9,cv,2,0,0
1/1/2010 23:00:00,4,,,,,,,,,,0,0
1/2/2010 00:00:00,4,,,,,,,,,,0,0
1/2/2010 01:00:00,4,,,,3,70.67,1021,8,cv,0,0,0
1/2/2010 02:00:00,4,,,,3,75.67,1021,7,cv,0,0,0
1/2/2010 03:00:00,4,,,,4,81.2,1021,7,cv,0,0,0
1/2/2010 04:00:00,4,,,,4,81.2,1021,7,SW,1,0,0
1/2/2010 05:00:00,4,,,,4,81.2,1021,7,SW,2,0,0
