Date,season,PM_Jingan,PM_US Post,PM_Xuhui,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec
1/1/2010 00:00:00,4,,,,-6,59.48,1026.1,1,cv,1,0,0
1/1/2010 01:00:00,4,,,,-6,59.48,1025.1,1,SE,2,0,0
1/1/2010 02:00:00,4,,,,-7,59.21,1025.1,0,SE,4,0,0
1/1/2010 03:00:00,4,,,,-6,63.94,1024,0,SE,5,0,0
1/1/2010 04:00:00,4,,,,-6,63.94,1023,0,SE,8,0,0
1/1/2010 05:00:00,4,,,,-7,59.21,1023,0,SE,11,0,0
1/1/2010 06:00:00,4,,,,-6,59.48,1023,1,SE,14,0,0
1/1/2010 07:00:00,4,,,,-5,64.18,1023,1,SE,17,0,0
1/1/2010 08:00:00,4,,,,-3,69.43,1023,2,SE,20,0,0
1/1/2010 09:00:00,4,,,,-2,64.9,1023,4,SE,23,0,0
1/1/2010 10:00:00,4,,,,-1,60.76,1022,6,SE,28,0,0
1/1/2010 11:00:00,4,,,,0,61.01,1022,7,SW,6,0,0
1/1/2010 12:00:00,4,,,,-1,52.98,1020,8,SW,10,0,0
1/1/2010 13:00:00,4,,,,0,53.26,1019,9,SW,14,0,0
1/1/2010 14:00:00,4,,,,-1,46.29,1019,10,SW,18,0,0
1/1/2010 15:00:00,4,,,,-1,46.29,1018,10,SE,3,0,0
1/1/2010 16:00:00,4,,,,-2,46,1018,9,SE,7,0,0
1/1/2010 17:00:00,4,,,,-1,49.51,1018,9,SE,11,0,0
1/1/2010 18:00:00,4,,,,0,56.99,1019,8,SE,14,0,0
1/1/2010 19:00:00,4,,,,1,61.26,1018,8,SE,16,0,0
1/1/2010 20:00:00,4,,,,2,65.82,1019,8,SE,20,0,0
1/1/2010 21:00:00,4,,,,2,65.82,1018,8,SE,25,0,0
1/1/2010 22:00:00,4,,,,3,70.67,1018,8,SW,5,0,0
1/1/2010 23:00:00,4,,,,,,,,,,0,0
1/2/2010 00:00:00,4,,,,,,,,,,0,0
1/2/2010 01:00:00,4,,,,3,75.67,1018,7,SW,3,0,0
1/2/2010 02:00:00,4,,,,3,75.67,1016.9,7,SW,7,0,0
1/2/2010 03:00:00,4,,,,3,75.67,1018,7,cv,1,0,0
1/2/2010 04:00:00,4,,,,3,75.67,1016.9,7,SW,3,0,0
1/2/2010 05:00:00,4,,,,3,81.06,1016.9,6,cv,0,0,0
1/2/2010 06:00:00,4,,,,3,81.06,1018,6,NW,1,0,0
1/2/2010 07:00:00,4,,,,2,80.92,1018,5,SW,1,0,0
1/2/2010 08:00:00,4,,,,3,81.06,1019,6,cv,0,0,0
1/2/2010 09:00:00,4,,,,4,75.84,1019,8,cv,0,0,0
1/2/2010 10:00:00,4,,,,3,61.76,1019,10,NW,3,0,0
1/2/2010 11:00:00,4,,,,3,57.77,1019,11,NW,8,0,0
1/2/2010 12:00:00,4,,,,2,53.81,1018,11,NW,13,0,0
1/2/2010 13:00:00,4,,,,3,54.08,1016.9,12,NW,17,0,0
1/2/2010 14:00:00,4,,,,1,46.88,1016.9,12,NW,22,0,0
1/2/2010 15:00:00,4,,,,2,50.36,1018,12,NW,26,0,0
1/2/2010 16:00:00,4,,,,2,50.36,1018,12,NW,30,0,0
1/2/2010 17:00:00,4,,,,2,53.81,1019,11,NW,33,0,0
1/2/2010 18:00:00,4,,,,3,61.76,1020,10,NE,3,0,0
1/2/2010 19:00:00,4,,,,3,66.05,1021,9,NE,6,0,0
1/2/2010 20:00:00,4,,,,3,70.67,1022,8,NE,13,0,0
1/2/2010 21:00:00,4,,,,3,75.67,1022,7,NE,19,0,0
1/2/2010 22:00:00,4,,,,3,81.06,1023,6,NE,22,0,0
1/2/2010 23:00:00,4,,,,3,86.89,1023,5,NE,25,0,0
1/3/2010 00:00:00,4,,,,3,86.89,1023,5,NE,28,0,0
1/3/2010 01:00:00,4,,,,3,86.89,1023,5,NE,32,0,0
1/3/2010 02:00:00,4,,,,2,80.92,1023,5,NE,35,0,0
1/3/2010 03:00:00,4,,,,3,86.89,1022,5,NE,38,0,0
1/3/2010 04:00:00,4,,,,3,86.89,1022,5,NE,42,0,0
1/3/2010 05:00:00,4,,,,2,86.79,1022,4,NE,45,0,0
1/3/2010 06:00:00,4,,,,3,86.89,1022,5,NE,48,0,0
1/3/2010 07:00:00,4,,,,2,75.49,1022,6,NE,52,0,0
1/3/2010 08:00:00,4,,,,2,75.49,1023,6,NE,56,0,0
1/3/2010 09:00:00,4,,,,2,65.82,1023,8,NE,60,0,0
1/3/2010 10:00:00,4,,,,2,65.82,1022,8,NE,66,0,0
1/3/2010 11:00:00,4,,,,2,57.51,1022,10,SE,5,0,0
1/3/2010 12:00:00,4,,,,3,57.77,1020,11,SE,10,0,0
1/3/2010 13:00:00,4,,,,2,53.81,1019,11,SE,15,0,0
1/3/2010 14:00:00,4,,,,3,57.77,1019,11,SE,21,0,0
1/3/2010 15:00:00,4,,,,3,54.08,1018,12,SE,26,0,0
1/3/2010 16:00:00,4,,,,3,57.77,1018,11,SE,33,0,0
1/3/2010 17:00:00,4,,,,3,61.76,1018,10,SE,38,0,0
1/3/2010 18:00:00,4,,,,4,70.88,1018,9,SE,42,0,0
1/3/2010 19:00:00,4,,,,4,70.88,1016.9,9,SE,47,0,0
1/3/2010 20:00:00,4,,,,5,76.01,1016.9,9,SE,52,0,0
1/3/2010 21:00:00,4,,,,5,76.01,1016.9,9,SE,58,0,0
1/3/2010 22:00:00,4,,,,5,76.01,1015.9,9,SE,63,0,0
1/3/2010 23:00:00,4,,,,6,81.48,1015.9,9,SE,67,0,0
1/4/2010 00:00:00,4,,,,5,81.34,1014.9,8,SW,5,0,0
1/4/2010 01:00:00,4,,,,5,81.34,1014.9,8,SW,10,0,0
1/4/2010 02:00:00,4,,,,4,81.2,1014.9,7,SW,14,0,0
1/4/2010 03:00:00,4,,,,4,86.99,1014.9,6,SW,16,0,0
1/4/2010 04:00:00,4,,,,3,86.89,1014.9,5,NW,1,0,0
1/4/2010 05:00:00,4,,,,4,86.99,1014.9,6,NW,3,0,0
1/4/2010 06:00:00,4,,,,4,93.24,1015.9,5,SW,2,0,0
1/4/2010 07:00:00,4,,,,3,86.89,1015.9,5,NW,2,0,0
1/4/2010 08:00:00,4,,,,4,86.99,1016.9,6,NW,7,0,0
1/4/2010 09:00:00,4,,,,4,86.99,1018,6,NW,12,0,0
1/4/2010 10:00:00,4,,,,4,86.99,1019,6,NW,19,0,0
1/4/2010 11:00:00,4,,,,3,75.67,1019,7,NW,26,0,0
1/4/2010 12:00:00,4,,,,2,65.82,1019,8,NW,33,0,0
1/4/2010 13:00:00,4,,,,0,61.01,1020,7,NW,40,0,0
1/4/2010 14:00:00,4,,,,-1,56.72,1020,7,NW,48,0,0
1/4/2010 15:00:00,4,,,,-4,45.4,1021,7,NE,7,0,0
1/4/2010 16:00:00,4,,,,-4,48.63,1022,6,NW,9,0,0
1/4/2010 17:00:00,4,,,,-3,52.41,1022,6,NW,16,0,0
1/4/2010 18:00:00,4,,,,-1,69.85,1023,4,NE,7,0,0
