Date,season,PM_Taiyuanjie,PM_US Post,PM_Xiaoheyan,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec
1/1/2010 00:00:00,4,,,,-26,69.79,1024,-22,NE,1.0289,,
1/1/2010 01:00:00,4,,,,-26,76.26,1024,-23,NE,2.5722,,
1/1/2010 02:00:00,4,,,,-27,69.56,1023,-23,NE,5.1444,,
1/1/2010 03:00:00,4,,,,-27,69.56,1023,-23,NE,7.7166,,
1/1/2010 04:00:00,4,,,,-27,69.56,1022,-23,NE,9.7744,,
1/1/2010 05:00:00,4,,,,-26,76.26,1022,-23,NE,11.8322,,
1/1/2010 06:00:00,4,,,,-25,76.46,1021,-22,NE,14.4044,,
1/1/2010 07:00:00,4,,,,-24,70.26,1021,-20,NE,16.9766,,
1/1/2010 08:00:00,4,,,,-23,70.49,1021,-19,NE,19.0344,,
1/1/2010 09:00:00,4,,,,-22,70.71,1021,-18,NE,21.6066,,
1/1/2010 10:00:00,4,,,,-20,77.39,1022,-17,NE,24.1788,,
1/1/2010 11:00:00,4,,,,-18,77.75,1021,-15,NE,27.2655,,
1/1/2010 12:00:00,4,,,,-17,77.92,1020,-14,NE,29.8377,,
1/1/2010 13:00:00,4,,,,-16,78.1,1019,-13,NE,32.9244,,
1/1/2010 14:00:00,4,,,,-15,84.87,1019,-13,NE,35.4966,,
1/1/2010 15:00:00,4,,,,-15,78.27,1019,-12,NE,38.5833,,
1/1/2010 16:00:00,4,,,,-15,78.27,1019,-12,NE,41.1555,,
1/1/2010 17:00:00,4,,,,-15,78.27,1020,-12,NE,43.2133,,
1/1/2010 18:00:00,4,,,,-16,78.1,1020,-13,NE,45.7855,,
1/1/2010 19:00:00,4,,,,-17,77.92,1021,-14,NE,48.3577,,
1/1/2010 20:00:00,4,,,,-17,84.62,1021,-15,NE,50.4155,,
1/1/2010 21:00:00,4,,,,-19,77.57,1022,-16,NE,51.9588,,
1/1/2010 22:00:00,4,,,,-20,77.39,1022,-17,NE,53.5021,,
1/1/2010 23:00:00,4,,,,,,,,,,,
1/2/2010 00:00:00,4,,,,,,,,,,,
1/2/2010 01:00:00,4,,,,-23,70.49,1023,-19,NE,1.5433,,
1/2/2010 02:00:00,4,,,,-24,70.26,1023,-20,NE,2.5722,,
1/2/2010 03:00:00,4,,,,-24,76.65,1023,-21,NE,3.6011,,
1/2/2010 04:00:00,4,,,,-24,76.65,1024,-21,NE,4.63,,
1/2/2010 05:00:00,4,,,,-24,70.26,1024,-20,NE,6.1733,,
1/2/2010 06:00:00,4,,,,-27,69.56,1024,-23,NE,8.2311,,
1/2/2010 07:00:00,4,,,,-27,69.56,1025,-23,NE,8.7455,,
1/2/2010 08:00:00,4,,,,-27,76.07,1026,-24,NE,9.7744,,
1/2/2010 09:00:00,4,,,,-25,70.03,1026,-21,cv,0.5144,,
1/2/2010 10:00:00,4,,,,-25,58.89,1026,-19,SE,0.5144,,
1/2/2010 11:00:00,4,,,,-24,54.37,1026,-17,NW,1.5433,,
1/2/2010 12:00:00,4,,,,-24,50,1026,-16,NW,3.6011,,
1/2/2010 13:00:00,4,,,,-24,50,1026,-16,NE,2.5722,,
1/2/2010 14:00:00,4,,,,-24,50,1026,-16,NW,2.0578,,
1/2/2010 15:00:00,4,,,,-24,50,1026,-16,NE,2.0578,,
1/2/2010 16:00:00,4,,,,-24,54.37,1027,-17,NW,1.5433,,
1/2/2010 17:00:00,4,,,,-24,54.37,1028,-17,NE,2.0578,,
1/2/2010 18:00:00,4,,,,-25,58.89,1028,-19,NE,3.0867,,
1/2/2010 19:00:00,4,,,,-25,58.89,1029,-19,cv,0.5144,,
1/2/2010 20:00:00,4,,,,-26,69.79,1029,-22,NE,0.5144,,
1/2/2010 21:00:00,4,,,,-29,69.08,1029,-25,SE,0.5144,,
1/2/2010 22:00:00,4,,,,-28,75.87,1029,-25,SE,1.5433,,
1/2/2010 23:00:00,4,,,,-29,75.67,1029,-26,SE,2.0577,,
1/3/2010 00:00:00,4,,,,-30,75.47,1029,-27,SE,2.5721,,
1/3/2010 01:00:00,4,,,,-29,75.67,1029,-26,SE,3.601,,
1/3/2010 02:00:00,4,,,,-29,75.67,1029,-26,SE,5.1443,,
1/3/2010 03:00:00,4,,,,-30,75.47,1029,-27,SE,6.1732,,
1/3/2010 04:00:00,4,,,,-31,68.59,1029,-27,cv,0,,
1/3/2010 05:00:00,4,,,,-31,75.27,1029,-28,cv,0.5144,,
1/3/2010 06:00:00,4,,,,-31,75.27,1029,-28,NE,1.0289,,
1/3/2010 07:00:00,4,,,,-31,75.27,1029,-28,NE,1.5433,,
1/3/2010 08:00:00,4,,,,-31,68.59,1029,-27,NE,3.0866,,
1/3/2010 09:00:00,4,,,,-28,75.87,1029,-25,NE,4.6299,,
1/3/2010 10:00:00,4,,,,-27,69.56,1029,-23,NE,6.1732,,
1/3/2010 11:00:00,4,,,,-25,70.03,1028,-21,NE,8.231,,
1/3/2010 12:00:00,4,,,,-23,70.49,1026,-19,NE,10.8032,,
1/3/2010 13:00:00,4,,,,-22,64.97,1025,-17,NE,13.3754,,
1/3/2010 14:00:00,4,,,,-22,59.74,1025,-16,NE,14.9187,,
1/3/2010 15:00:00,4,,,,-23,54.68,1025,-16,NE,16.462,,
1/3/2010 16:00:00,4,,,,-23,54.68,1024,-16,NE,18.5198,,
1/3/2010 17:00:00,4,,,,-23,59.46,1025,-17,NE,20.0631,,
1/3/2010 18:00:00,4,,,,-23,59.46,1025,-17,NE,22.6353,,
1/3/2010 19:00:00,4,,,,-23,59.46,1024,-17,NE,24.6931,,
1/3/2010 20:00:00,4,,,,-22,59.74,1025,-16,NW,1.5433,,
1/3/2010 21:00:00,4,,,,-22,59.74,1025,-16,NW,3.0866,,
1/3/2010 22:00:00,4,,,,-22,64.97,1024,-17,NE,1.5433,,
1/3/2010 23:00:00,4,,,,-22,64.97,1024,-17,NE,3.0866,,
1/4/2010 00:00:00,4,,,,-22,70.71,1023,-18,NE,4.1155,,
1/4/2010 01:00:00,4,,,,-22,70.71,1023,-18,NW,1.5433,,
1/4/2010 02:00:00,4,,,,-22,70.71,1023,-18,NW,3.0866,,
1/4/2010 03:00:00,4,,,,-23,64.72,1022,-18,NW,4.6299,,
1/4/2010 04:00:00,4,,,,-23,64.72,1022,-18,NW,6.1732,,
1/4/2010 05:00:00,4,,,,-24,64.46,1023,-19,NW,8.231,,
1/4/2010 06:00:00,4,,,,-24,70.26,1023,-20,NE,1.5433,,
1/4/2010 07:00:00,4,,,,-25,64.19,1023,-20,NW,2.0578,,
1/4/2010 08:00:00,4,,,,-25,64.19,1023,-20,NE,3.0867,,
1/4/2010 09:00:00,4,,,,-24,70.26,1024,-20,NE,6.1734,,
1/4/2010 10:00:00,4,,,,-24,59.18,1024,-18,NW,3.0867,,
1/4/2010 11:00:00,4,,,,-24,54.37,1023,-17,NW,6.6878,,
1/4/2010 12:00:00,4,,,,-24,54.37,1023,-17,NE,4.1156,,
1/4/2010 13:00:00,4,,,,-24,54.37,1023,-17,NW,3.0867,,
1/4/2010 14:00:00,4,,,,-24,54.37,1024,-17,NW,6.6878,,
1/4/2010 15:00:00,4,,,,-23,59.46,1024,-17,NW,9.7745,,
1/4/2010 16:00:00,4,,,,-23,64.72,1025,-18,NW,11.8323,,
1/4/2010 17:00:00,4,,,,-23,64.72,1026,-18,NW,13.3756,,
1/4/2010 18:00:00,4,,,,-24,64.46,1026,-19,NE,1.5433,,
1/4/2010 19:00:00,4,,,,-24,64.46,1027,-19,NE,2.5722,,
